id,domaine,sous_type,niveau_1_5,temps_conseille_sec,mode_reponse,consigne_examinateur,stimulus,choix_A,choix_B,choix_C,choix_D,reponse_attendue,explication_correction,bareme,construct_cible,tags,source_cadre,avertissement
VT-168,Vitesse de traitement / attention,Codage symbolique,2,26,Réponse libre stricte,Utilisez rapidement la clé de codage. Réponse attendue sans espace.,"Clé: A=#, B=%, C=&, D=@, E=+, F=? . Encodez: ACDF",,,,,#&@?,Application directe de la clé de codage; la réponse attendue est #&@?.,"1 point si réponse exacte, 0 sinon.",Association rapide symbole-code,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-169,Vitesse de traitement / attention,Codage symbolique,4,32,Réponse libre stricte,Utilisez rapidement la clé de codage. Réponse attendue sans espace.,"Clé: A=#, B=%, C=&, D=@, E=+, F=? . Encodez: FEDCAB",,,,,?+@&#%,Application directe de la clé de codage; la réponse attendue est ?+@&#%.,"1 point si réponse exacte, 0 sinon.",Association rapide symbole-code,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-170,Vitesse de traitement / attention,Codage symbolique,4,32,Réponse libre stricte,Utilisez rapidement la clé de codage. Réponse attendue sans espace.,"Clé: A=#, B=%, C=&, D=@, E=+, F=? . Encodez: BADFACE",,,,,%#@?#&+,Application directe de la clé de codage; la réponse attendue est %#@?#&+.,"1 point si réponse exacte, 0 sinon.",Association rapide symbole-code,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-171,Vitesse de traitement / attention,Recherche de symboles,1,21,Réponse libre stricte,Dites si la cible apparaît exactement dans la série. Répondez OUI ou NON.,Cible: XZ | Série: AXZ-QP-LM-RT,,,,,OUI,La séquence XZ est présente dans AXZ.,"1 point si réponse exacte, 0 sinon.",Discrimination visuelle rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-172,Vitesse de traitement / attention,Recherche de symboles,2,24,Réponse libre stricte,Dites si la cible apparaît exactement dans la série. Répondez OUI ou NON.,Cible: 7B | Série: 7D-8B-9B-B7,,,,,NON,"On voit 7D, 8B, 9B et B7, mais pas 7B.","1 point si réponse exacte, 0 sinon.",Discrimination visuelle rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-173,Vitesse de traitement / attention,Recherche de symboles,2,24,Réponse libre stricte,Dites si la cible apparaît exactement dans la série. Répondez OUI ou NON.,Cible: @# | Série: %&-#@-@@-@#,,,,,OUI,Le dernier groupe est @#.,"1 point si réponse exacte, 0 sinon.",Discrimination visuelle rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-174,Vitesse de traitement / attention,Recherche de symboles,1,21,Réponse libre stricte,Dites si la cible apparaît exactement dans la série. Répondez OUI ou NON.,Cible: MN | Série: NM-MM-NN-MN,,,,,OUI,MN apparaît dans le dernier groupe.,"1 point si réponse exacte, 0 sinon.",Discrimination visuelle rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-175,Vitesse de traitement / attention,Recherche de symboles,2,24,Réponse libre stricte,Dites si la cible apparaît exactement dans la série. Répondez OUI ou NON.,Cible: 42 | Série: 24-44-22-4Z,,,,,NON,42 n'apparaît pas; 24 inverse l'ordre.,"1 point si réponse exacte, 0 sinon.",Discrimination visuelle rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-176,Vitesse de traitement / attention,Recherche de symboles,3,27,Réponse libre stricte,Dites si la cible apparaît exactement dans la série. Répondez OUI ou NON.,Cible: PQ | Série: OPQ-PRQ-P0Q,,,,,OUI,OPQ contient P suivi de Q.,"1 point si réponse exacte, 0 sinon.",Discrimination visuelle rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-177,Vitesse de traitement / attention,Recherche de symboles,4,30,Réponse libre stricte,Dites si la cible apparaît exactement dans la série. Répondez OUI ou NON.,Cible: A1 | Série: AI-AI-1A-lA,,,,,NON,A1 n'apparaît pas: AI utilise la lettre I et lA utilise un l minuscule.,"1 point si réponse exacte, 0 sinon.",Discrimination visuelle rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-178,Vitesse de traitement / attention,Recherche de symboles,3,27,Réponse libre stricte,Dites si la cible apparaît exactement dans la série. Répondez OUI ou NON.,Cible: >< | Série: <>-<<->>-<>,,,,,NON,>< n'apparaît pas; <> et >> sont différents.,"1 point si réponse exacte, 0 sinon.",Discrimination visuelle rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-179,Vitesse de traitement / attention,Recherche de symboles,2,24,Réponse libre stricte,Dites si la cible apparaît exactement dans la série. Répondez OUI ou NON.,Cible: Z2 | Série: ZZ-ZS-2Z-Z2,,,,,OUI,Z2 est le dernier groupe.,"1 point si réponse exacte, 0 sinon.",Discrimination visuelle rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-180,Vitesse de traitement / attention,Recherche de symboles,3,27,Réponse libre stricte,Dites si la cible apparaît exactement dans la série. Répondez OUI ou NON.,Cible: bd | Série: db-bq-pd-bd,,,,,OUI,bd est présent dans le dernier groupe; attention aux inversions.,"1 point si réponse exacte, 0 sinon.",Discrimination visuelle rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-181,Vitesse de traitement / attention,Barrage / comptage attentionnel,1,26,Réponse libre stricte,Comptez rapidement les cibles selon la règle indiquée. Répondez par un nombre.,Comptez le nombre de 'A' dans: A C A D B A E A,,,,,4,Il y a quatre A.,"1 point si réponse exacte, 0 sinon.",Attention sélective et balayage rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-182,Vitesse de traitement / attention,Barrage / comptage attentionnel,2,30,Réponse libre stricte,Comptez rapidement les cibles selon la règle indiquée. Répondez par un nombre.,Comptez les paires 'XZ' dans: XZ XX ZX XZ XZ,,,,,3,Les groupes XZ apparaissent 3 fois.,"1 point si réponse exacte, 0 sinon.",Attention sélective et balayage rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-183,Vitesse de traitement / attention,Barrage / comptage attentionnel,2,30,Réponse libre stricte,Comptez rapidement les cibles selon la règle indiquée. Répondez par un nombre.,Comptez les chiffres pairs dans: 7 2 5 8 9 4 1 6,,,,,4,"Pairs: 2,8,4,6.","1 point si réponse exacte, 0 sinon.",Attention sélective et balayage rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-184,Vitesse de traitement / attention,Barrage / comptage attentionnel,3,34,Réponse libre stricte,Comptez rapidement les cibles selon la règle indiquée. Répondez par un nombre.,Comptez les symboles '+' immédiatement suivis de '-': + - + + - - + -,,,,,3,"Les occurrences '+ -' sont aux positions 1-2, 4-5 et 7-8.","1 point si réponse exacte, 0 sinon.",Attention sélective et balayage rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-185,Vitesse de traitement / attention,Barrage / comptage attentionnel,4,38,Réponse libre stricte,Comptez rapidement les cibles selon la règle indiquée. Répondez par un nombre.,Comptez les lettres B précédées immédiatement d'un A dans: A B B A B A C B A B,,,,,3,"AB apparaît aux positions 1-2, 4-5 et 9-10.","1 point si réponse exacte, 0 sinon.",Attention sélective et balayage rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-186,Vitesse de traitement / attention,Barrage / comptage attentionnel,3,34,Réponse libre stricte,Comptez rapidement les cibles selon la règle indiquée. Répondez par un nombre.,"Comptez les groupes où le premier et le dernier caractère sont identiques: ABA, CDD, EFE, GHG",,,,,3,"ABA, EFE et GHG ont premier=dernier; CDD non.","1 point si réponse exacte, 0 sinon.",Attention sélective et balayage rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-187,Vitesse de traitement / attention,Barrage / comptage attentionnel,2,30,Réponse libre stricte,Comptez rapidement les cibles selon la règle indiquée. Répondez par un nombre.,Comptez les nombres strictement supérieurs à 50: 49 51 50 62 38 70,,,,,3,"51, 62 et 70 sont >50; 50 ne l'est pas strictement.","1 point si réponse exacte, 0 sinon.",Attention sélective et balayage rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-188,Vitesse de traitement / attention,Barrage / comptage attentionnel,5,42,Réponse libre stricte,Comptez rapidement les cibles selon la règle indiquée. Répondez par un nombre.,Comptez les occurrences de '11' dans: 111011 (chevauchements autorisés),,,,,3,"Positions 1-2, 2-3 et 5-6: trois occurrences avec chevauchement.","1 point si réponse exacte, 0 sinon.",Attention sélective et balayage rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-189,Vitesse de traitement / attention,Barrage / comptage attentionnel,4,38,Réponse libre stricte,Comptez rapidement les cibles selon la règle indiquée. Répondez par un nombre.,Comptez les paires adjacentes de lettres identiques dans: A A B C C C D E E,,,,,4,"Paires adjacentes: AA, CC (positions 4-5), CC (5-6), EE = 4 paires adjacentes.","1 point si réponse exacte, 0 sinon.",Attention sélective et balayage rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-190,Vitesse de traitement / attention,Barrage / comptage attentionnel,3,34,Réponse libre stricte,Comptez rapidement les cibles selon la règle indiquée. Répondez par un nombre.,"Comptez les groupes contenant exactement deux chiffres: A12, B7C, 34D, EFG, 9H8",,,,,3,"A12, 34D et 9H8 contiennent exactement deux chiffres.","1 point si réponse exacte, 0 sinon.",Attention sélective et balayage rapide,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-191,Vitesse de traitement / attention,Comparaison rapide,1,18,Réponse libre stricte,Comparez les deux chaînes. Répondez IDENTIQUE ou DIFFÉRENT.,K7M2Q | K7M2Q,,,,,IDENTIQUE,Les deux chaînes sont identiques.,"1 point si réponse exacte, 0 sinon.",Vitesse perceptive et contrôle d'erreur,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-192,Vitesse de traitement / attention,Comparaison rapide,2,21,Réponse libre stricte,Comparez les deux chaînes. Répondez IDENTIQUE ou DIFFÉRENT.,AB8D0 | AB8O0,,,,,DIFFÉRENT,Le quatrième caractère diffère: D vs O.,"1 point si réponse exacte, 0 sinon.",Vitesse perceptive et contrôle d'erreur,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-193,Vitesse de traitement / attention,Comparaison rapide,2,21,Réponse libre stricte,Comparez les deux chaînes. Répondez IDENTIQUE ou DIFFÉRENT.,pqd69 | pqd69,,,,,IDENTIQUE,Même ordre et mêmes caractères.,"1 point si réponse exacte, 0 sinon.",Vitesse perceptive et contrôle d'erreur,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-194,Vitesse de traitement / attention,Comparaison rapide,3,24,Réponse libre stricte,Comparez les deux chaînes. Répondez IDENTIQUE ou DIFFÉRENT.,L1I0O | L1I0O,,,,,IDENTIQUE,"Malgré les caractères proches, les deux chaînes correspondent.","1 point si réponse exacte, 0 sinon.",Vitesse perceptive et contrôle d'erreur,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-195,Vitesse de traitement / attention,Comparaison rapide,2,21,Réponse libre stricte,Comparez les deux chaînes. Répondez IDENTIQUE ou DIFFÉRENT.,S5Z2B | S5ZB2,,,,,DIFFÉRENT,Les deux derniers caractères sont inversés.,"1 point si réponse exacte, 0 sinon.",Vitesse perceptive et contrôle d'erreur,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-196,Vitesse de traitement / attention,Comparaison rapide,3,24,Réponse libre stricte,Comparez les deux chaînes. Répondez IDENTIQUE ou DIFFÉRENT.,mnRN8 | mnRM8,,,,,DIFFÉRENT,N et M diffèrent au quatrième caractère.,"1 point si réponse exacte, 0 sinon.",Vitesse perceptive et contrôle d'erreur,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-197,Vitesse de traitement / attention,Comparaison rapide,2,21,Réponse libre stricte,Comparez les deux chaînes. Répondez IDENTIQUE ou DIFFÉRENT.,@@##%% | @@##%%,,,,,IDENTIQUE,La séquence de symboles est la même.,"1 point si réponse exacte, 0 sinon.",Vitesse perceptive et contrôle d'erreur,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-198,Vitesse de traitement / attention,Comparaison rapide,3,24,Réponse libre stricte,Comparez les deux chaînes. Répondez IDENTIQUE ou DIFFÉRENT.,bdpq | bdpq,,,,,IDENTIQUE,Même casse et mêmes lettres.,"1 point si réponse exacte, 0 sinon.",Vitesse perceptive et contrôle d'erreur,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-199,Vitesse de traitement / attention,Comparaison rapide,2,21,Réponse libre stricte,Comparez les deux chaînes. Répondez IDENTIQUE ou DIFFÉRENT.,VXWYYX | VXWYYX,,,,,IDENTIQUE,Aucune différence.,"1 point si réponse exacte, 0 sinon.",Vitesse perceptive et contrôle d'erreur,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-200,Vitesse de traitement / attention,Comparaison rapide,4,27,Réponse libre stricte,Comparez les deux chaînes. Répondez IDENTIQUE ou DIFFÉRENT.,102S0 | 10ZS0,,,,,DIFFÉRENT,Le troisième caractère est 2 dans la première chaîne et Z dans la seconde.,"1 point si réponse exacte, 0 sinon.",Vitesse perceptive et contrôle d'erreur,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
